id,state,name,address_line1,address_line2,city,district,pin_code
34225,Maharashtra,"Shivajirao S. Jondhale College of Engineering, Sonarpada, Dombivli (East) Dist: Thane","Kalyan shil road, Behind Venkatesh Petrol Pump, Regency Estate,","Sonarpada, Dombivli(E)",Dombivli,Thane,421204
39799,Odisha,"Paramananda College, Balagarh, Khurda",Bolgarh,Bolgarh,khordha,Khordha,752066
29363,Punjab,"SGGS Khalsa College, Mahilpur",VPO MAHILPUR,campus SGGS Khalsa College Mahilpur 146105,HOSHIARPUR,Hoshiarpur,146105
27696,Andhra Pradesh,"Vidyalaya College of Education, Tirupati",4-32 SBI COLONY,RENIGUNTA ROAD,TIRUPATI - 517507,Chittoor,517507
6974,Karnataka,"Sri Basaveshwara College of Education, Tiptur","Madenur Gate,",Tiptur.,Tumkur,Tumkur,572202
35253,Madhya Pradesh,"Anand Excellence of Information Technology, Ramlala Marg Biowra, Rajgarh",Ramlala Marg,"bhanwarganj,biaora",Biaora,Rajgarh,465674
25179,Rajasthan,"Deepshikha Kala Sansthan Group of Institutions,Vatika,Jaipur","VILLAGE VATIKA, TEHSIL SANGANER, JAIPUR - 303902","VILLAGE VATIKA, TEHSIL SANGANER, JAIPUR - 303902",JAIPUR,Jaipur,303902
22110,Punjab,"Akal Degree College, Mastuana, Sangrur","Akal Degree College, Mastuana",NH-64,Sangrur,Sangrur,148001
46282,Uttar Pradesh,"RAJEEV ACADEMY FOR PHARMACY, MATHURA",Chhatikara,NA,Mathura,Mathura,281001
43153,Maharashtra,"Arts , Commerce College Mahagaon",NEAR PANCHYAT SAMITEE,TQ.MAHAGAON,MAHAGAON,Yavatmal,445205
16857,Karnataka,"St. Ann's college of Education, Mangalore",Opp. Head Post Office,"Rosario Church Road, Pandeshwar",Mangalore,Dakshina Kannada,575001
11587,Kerala,"St.Josephs College, Moolamattom, Arakulam P.O.- 685 591",Arakulam P.O,NA,Moolamattom,Idukki,685591
53982,Uttar Pradesh,Saraswati Mahila Mahavidyalay,"Vill.-Ajagara, Post-Gajandher Patti(Bhedaura)",NA,Azamgarh,Azamgarh,223223
28816,Uttar Pradesh,"NKBR COLLEGE OF PROFESSIONAL STUDIES MEERUT-HAPUR ROAD, PHAPHUNDA, MEERUT, Ph. 0121-2954248,, 2575775, 9897548873,",MEERUT HAPUR ROAD MEERUT,PHAPHUNDA,MEERUT,Meerut,245206
24979,Chhatisgarh,Govt. Gundadhur College Kondagoan,"Office of The Principal, Govt. Gundadhur College Kondagaon",NA,Kondagaon,Bastar,494226
45782,West Bengal,"NAKSHALBARI COLLEGE, DARJILING",P.O: NAKSHALBARI,NA,NAKSHALBARI,Darjiling,734429
25084,Rajasthan,Aishwarya College of Management & Research Center-ACMRC,A-9 EXTENSION I,KAMLA NEHRU NAGAR,JODHPUR - 342008,Jodhpur,342008
39170,Rajasthan,"Lokesh TT College, Jaipur",SABRAMPURA MANCHWA JHOTWARA JAIPUR,JAPUR,JAIPUR,Jaipur,303706
33122,Telangana,SRI SAI TRIVENI PG COLLEGE SURYAPET,OPP GOVT JR COLLEGE,NEAR FIRE STATION,SURYAPET,Nalgonda,508213
47606,Uttrakhand,"SHEETAL VEDIC SANSTHAN, RANIPHOKHARI, DEHRADUN",Falsua badkot,dandi via ranipokhari,dehradun,Dehradun,248145
27931,Punjab,"Vishwa Mitar Shekhri College of Education, Vill. Said Mubarak, Amritsar Road, Batala.","AMRITSAR ROAD, BATALA",NA,BATALA,Gurdaspur,143505
18961,Maharashtra,"Sri Govind Prabhu Arts Commerce College, Balapur",Talodhi (Balapur),Talodhi (Balapur),Talodhi,Chandrapur,441221
19947,Telangana,Swarna Bhrathi Institute of Science Technology,H.No. 5-7-200 / 12,Pakabanda Street,Khammam,Khammam,507002
52051,Rajasthan,"Mahaveer Institute of Technology and Science, Jadan","NH-14,RANIYA BERA, VILLAGE-JADAN, PALI","NH-14,RANIYA BERA, VILLAGE-JADAN, PALI",PALI,Pali,306401
18017,Andhra Pradesh,"Nova's Institute of Technology,TANGELLAMUDI VILLAGE ELURU MANDAL, PIN-534005(CC-9F)","TANGELLAMUDI (V), ELURU MANDAL","NEAR NH-5, BI-PASS",ELURU,West Godavari,534005
15244,Uttar Pradesh,"ALIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY, ALIGARH",2.5 KM STONE ALIGARH MATHURA ROAD ALIGARH,2.5 KM STONE ALIGARH MATHURA ROAD ALIGARH,Aligarh,Aligarh,202001
31029,Punjab,"Dashmesh Khalsa College, Muktsar","CHAK BIR SARKAR ROAD, SRI MUKTSAR SAHIB",NA,SRI MUKTSAR SAHIB,Muktsar,152026
19880,Telangana,Joseph Sriharsha & Mary Indraja Educational Society's St. Mary's Group of Institutions,"Near Ramoji Film City, Behind Mount Opera, Deshmukhi Village","Pochampally Mandal, Nalgonda Dist & Batasingaram(V)","Hayathnagar Mandal RR Dist, Greater Hyderabad under HMDA",Nalgonda,508284
34788,Madhya Pradesh,"ROSHAN LAL DAIPURIYA COLLEGE , SURPURA",SURPURA,ATER,BHIND,Bhind,477001
12121,Uttar Pradesh,"SW. KRIPA SHANKER TIWARI MAHAVIDYALAYA, NAHWAI, MEJA,",NAHWAI,MANDA ROAD,ALLAHABAD,Allahabad,212304
24076,Andhra Pradesh,SPACES Degree College,"N.H-5 Road, Payakaraopeta",P.L.Puram,Payakaraopeta,Visakhapatnam,531126
21625,Telangana,"GOVT. DEGREE COLLEGE, KORATLA",YESUKONI GUTTA,KORATLA,KORUTLA,Karimnagar,505326
47431,Rajasthan,"GHATALA MAHAVIDHYALAY, BAGRU",BAGRU KALA TEH.- SAGANER JAIPUR,BAGRU KALA TEH.- SAGANER JAIPUR,JAIPUR,Jaipur,303007
41079,Tamil Nadu,Sree Ramu College of Arts and Science,"N.M.SUNGAM, VEDASENTHUR POST, POLLACHI TK","N.M.SUNGAM, VEDASENTHUR POST, POLLACHI TK",POLLACHI,Coimbatore,642007
40231,Karnataka,V L College of Pharmacy,Opp LVD College,MANIC PRABHU TEMPLE RAOD,RAICHUR,Raichur,584101
19938,Telangana,Prathishtha Institute of Pharmaceutical Sciences,Durajpally(vi),Chivvemla(m),"Suryapet,Nalgonda(Dist)",Nalgonda,508214
16530,Tamil Nadu,Thangavelu Engineering College,RAJIV GANDHI SALAI,KARAPAKKAM,CHENNAI,Kancheepuram,600097
14276,Uttar Pradesh,"J. B. Mahajan Mahila Degree College, Chaurichaura, Gorakhpur",Futahawa Ingar,Chauri chaura,Gorakhpur,Gorakhpur,273001
10208,Karnataka,"SDVSS'S BCA COLLEGE, SANKESHWAR",THE PRINICIPAL,"SDVSS'S BCA COLLEGE, SANKESHWAR",SANKESHWAR,Belgaum,591313
